,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BAJAJHLDNG.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
HDFCLIFE.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11660498851900158,0.13229417896363332,0.08055188692772525,0.09256393062934726,0.19978295367245275,0.1300925261475147,0.0860236138259522,0.11204500662525041,0.008590082376139752,0.21907545889653246,0.12191858292789087,0.12478065203532335,0.16108747421414266,0.21162099309529708,0.22546446369643008,0.16893192271262647,0.08354156287422576,0.3400299734312695,0.1635955573605269,0.17034963559060118,0.14847603570340678,0.05213622207185236,0.10310673675627119,0.06702853250062037,0.1501820629420928,0.06032429645978774,0.21313848684618847,0.07026782129208346
HEROMOTOCO.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2923876265856905,0.9520734273569756,0.5675262882462471,0.9257808886149195,0.9761642470886802,0.9427106736359883,0.31156999131052415,0.8981858111807087,0.40508497773079133,0.38589426509617425,0.16972816276396296,0.7237396468015047,0.07930694210069772,0.08637626328507791,0.26293999257455114,0.7815322753801561,0.31084412522606414,0.3206456233440562,0.3099799272503646,0.9721209943557022,0.7904104616561248,0.37456600363759995,0.7121733425041892,0.5899073848321079,0.3538792125963211,0.9642422388834294,0.9632011269533767
HINDALCO.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142025587772731,0.4293579586717281,0.972097207863838,0.9838701083428075,0.9730549402952978,0.10321254287409981,0.65601944995889,0.6016293003444628,0.5441267718441364,0.29358151271524247,0.8022439981884715,0.5494134601858857,0.2731874308933458,0.4571860001776558,0.4627434813365848,0.03603529845084644,0.00135063419336929,0.258074630413043,0.9901747199502088,0.69025459222488,0.05938793372664822,0.46599636621670026,0.28981259490570366,0.26000767928208957,0.9717796241162465,0.9845346842060854
HINDUNILVR.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1769692420181193,0.2124038776961808,0.21886266067008286,0.03384537916034455,0.15038831046605827,0.011509600602323438,0.23786620357053734,0.2882776314669886,0.17960606231054116,0.1281496816256658,0.26722416633590274,0.22967205960114623,0.2211446339331064,0.022796482851315268,0.24186564216018697,0.252167159322831,0.24999745208067375,0.06596613961623743,0.10180372847978991,0.12513345836327822,0.13478682021378968,0.24639055557883682,0.19278027404369835,0.17510365544265521,0.07415580750946502
ICICIBANK.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.863147451129813,0.923732765039983,0.8348072766880823,0.10983866324570057,0.5033879925704349,0.43440869000645455,0.40852290313300976,0.2848241954774843,0.384220175996682,0.5022805472936307,0.37378593879970845,0.3001676904547461,0.4503233032478319,0.10076686697540993,0.6697953671375587,0.2062249638170316,0.942995032508955,0.35979975144390663,0.1869505333886627,0.20507442360197425,0.1870935068623436,0.05167365797132666,0.8773306675827921,0.920833902471331
ITC.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9045789698207858,0.822953097217739,0.7306222466579845,0.7571301133281593,0.6445465184778145,0.8859735898822552,0.6007166407805484,0.7577904776964595,0.9212724904340184,0.7296619827020951,0.892861674451198,0.7630142955491801,0.9146101960783112,0.9758782712735818,0.9349378189444225,0.7650407556255554,0.8772561387197118,0.6316735171094163,0.7021048482061183,0.8952824138586576,0.7424765067667212,0.9018687250113829,0.8516212575315827
INDUSINDBK.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.538984049460985,0.5585381447360563,0.34871839889055556,0.5800482880380204,0.5492505700105887,0.5824214809189857,0.4867068026704766,0.5823499932833668,0.6058182051126197,0.5707216589814996,0.4607662668912744,0.4703931516732377,0.5420260549656939,0.5585181430725833,0.5990825041558901,0.5086611960868702,0.5474533763737517,0.5279935916415662,0.5405318631992374,0.5370014533389833,0.4881146379355359,0.5342196228060684
INFY.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6678622677899329,0.10106170943573112,0.6248726359943889,0.7076357981526082,0.5314450027203571,0.4817000081892785,0.6922636236681214,0.6198316255577471,0.6395333950507481,0.21678895952512756,0.7236595661416583,0.7451911983009395,0.7349848730842268,0.13118322544760885,0.38987098213155796,0.3613876421644009,0.5579691348816104,0.7279256271263823,0.506674349524986,0.41309661117598395,0.15501833337504506
JSWSTEEL.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3822943031976798,0.43705824590559944,0.5214028003683814,0.29576479731835925,0.5738720957695518,0.4104210285454094,0.22994567282561534,0.44000107263151983,0.43933163184089075,0.08082583012168376,0.13873152960811908,0.19820649834774834,0.9663324958519816,0.15222346253551422,0.03308952841722238,0.2320469999193271,0.11376875816263882,0.08330263007880151,0.8875659336353379,0.9476056230631748
KOTAKBANK.NS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18195892663563923,0.17321949548158777,0.16737248420649414,0.08005932014323075,0.1991735553896658,0.1954292182523808,0.16881637550073808,0.043295761316041084,0.03575340689850866,0.17296742054873676,0.1353376072748288,0.09947010853042837,0.04436772972505205,0.046316931083525546,0.04025608413817575,0.10163204604972309,0.04218947505904242,0.03571054677718459,0.028965168873253632
