Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BAJAJHLDNG.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2022-01-19,1846.006103515625,727.4688720703125,4460.3857421875,3159.174560546875,726.5662231445312,3109.352294921875,742.9042358398438,1804.1094970703125,65.35566711425781,5151.248046875,687.7681274414062,161.02244567871094,3367.238525390625,867.448974609375,117.44818115234375,912.1683349609375,2608.15087890625,1765.176513671875,1011.8724365234375,722.2317504882812,648.0670166015625,2301.84423828125,490.5369873046875,2152.71484375,784.3577270507812,178.22817993164062,866.8687133789062,1676.0616455078125,644.8817749023438,379.7328186035156,1939.42431640625,862.8585205078125,7731.5322265625,905.4024047851562,115.49272155761719,131.23866271972656,124.96273040771484,1147.3583984375,1236.559326171875,480.331298828125,800.1874389648438,3478.410400390625,694.3624267578125,106.46204376220703,1453.710693359375,2555.365234375,7268.88037109375,781.5579833984375,286.94000244140625
2022-01-20,1862.5263671875,721.4083251953125,4587.64990234375,3184.21337890625,725.8692626953125,2993.50244140625,738.82763671875,1722.4384765625,66.67440795898438,5203.4521484375,699.2033081054688,160.4916534423828,3395.018798828125,854.5678100585938,118.27227020263672,893.9832153320312,2622.63671875,1789.1160888671875,1000.0879516601562,717.7369995117188,641.5473022460938,2310.072021484375,489.1765441894531,2107.887939453125,785.9583129882812,176.9340362548828,851.2927856445312,1637.1458740234375,652.3854370117188,377.13238525390625,1922.7259521484375,849.4486083984375,7751.44921875,895.7015380859375,115.57841491699219,128.6177520751953,131.0688934326172,1127.2696533203125,1227.24609375,476.2339172363281,782.5326538085938,3400.1279296875,699.97412109375,106.20680236816406,1450.9256591796875,2531.084228515625,7299.28857421875,776.9450073242188,284.19140625
2022-01-21,1825.0933837890625,707.6253051757812,4633.923828125,3153.82958984375,709.5374755859375,3093.97216796875,723.4727172851562,1630.24853515625,64.9788818359375,5068.916015625,679.5094604492188,155.85714721679688,3407.402587890625,840.1369018554688,113.7577896118164,875.4086303710938,2600.859619140625,1751.1058349609375,993.7911987304688,723.72998046875,633.6446533203125,2344.72998046875,492.38330078125,2167.16015625,780.3806762695312,175.55902099609375,828.875,1603.033203125,636.8524169921875,377.3615417480469,1877.18896484375,844.3355712890625,7899.2666015625,907.183349609375,114.89301300048828,126.1509780883789,131.34365844726562,1127.4515380859375,1229.1783447265625,468.13214111328125,771.796630859375,3406.302734375,702.9735107421875,102.95027923583984,1387.079345703125,2495.402099609375,7193.83935546875,756.2348022460938,279.95770263671875
2022-01-24,1712.7437744140625,686.657470703125,4442.8046875,3038.552978515625,701.6702270507812,3060.044921875,680.1060791015625,1567.569091796875,61.94894790649414,4811.26171875,674.2805786132812,152.34556579589844,3318.45751953125,864.0107421875,112.00215911865234,849.7468872070312,2548.384033203125,1652.0252685546875,957.1605834960938,707.1065063476562,619.9631958007812,2307.301025390625,464.8829345703125,2129.13671875,774.5121459960938,171.3125762939453,826.109130859375,1559.13525390625,594.3637084960938,364.8376159667969,1823.3026123046875,824.5585327148438,7766.833984375,894.9197387695312,113.60784912109375,127.73125457763672,130.67198181152344,1081.9730224609375,1213.6729736328125,460.17010498046875,764.2576293945312,3351.0791015625,669.0125732421875,96.74526977539062,1317.0963134765625,2371.9228515625,6996.6787109375,732.8817749023438,265.0124206542969
2022-01-25,1738.2982177734375,695.1129760742188,4430.8037109375,3030.80078125,749.0723266601562,3138.574951171875,683.2456665039062,1549.7847900390625,64.11544036865234,4876.96630859375,695.733642578125,156.20423889160156,3333.007080078125,877.1342163085938,115.47756958007812,857.2429809570312,2582.536376953125,1681.9254150390625,956.1396484375,707.7723388671875,623.1242065429688,2371.970703125,472.0252380371094,2168.884033203125,777.6162109375,173.33468627929688,858.1344604492188,1545.9840087890625,603.3012084960938,369.57025146484375,1847.6785888671875,824.3655395507812,8297.6240234375,898.4099731445312,115.92113494873047,127.30726623535156,133.63348388671875,1079.8572998046875,1216.6453857421875,479.26043701171875,771.1286010742188,3349.79052734375,684.7835693359375,97.61661529541016,1306.1722412109375,2345.716796875,6940.3125,760.3192749023438,260.3622741699219
2022-01-27,1682.996826171875,693.157958984375,4239.4375,3001.7646484375,770.6322631835938,3167.52587890625,670.8096313476562,1532.90869140625,64.33522033691406,4843.37939453125,691.23779296875,156.06134033203125,3290.488525390625,898.3930053710938,115.0476303100586,828.7191162109375,2536.34423828125,1648.4588623046875,917.0413208007812,701.5415649414062,613.9374389648438,2314.803955078125,475.32916259765625,2139.15478515625,770.8259887695312,173.5773468017578,861.8707885742188,1506.888916015625,598.4739990234375,376.4648742675781,1833.8111572265625,827.7903442382812,8507.5107421875,879.0321044921875,115.6640853881836,127.73125457763672,131.19102478027344,1063.863525390625,1200.4464111328125,492.57708740234375,774.9935302734375,3242.585693359375,683.0419921875,95.79031372070312,1258.2984619140625,2280.127197265625,6942.61083984375,741.867431640625,252.0567626953125
2022-01-28,1690.6829833984375,694.1843872070312,4423.49462890625,2995.890380859375,761.5203857421875,3163.99755859375,673.7776489257812,1516.8311767578125,65.02598571777344,4850.1533203125,699.5941772460938,156.183837890625,3305.085205078125,902.8966064453125,115.83584594726562,821.3690795898438,2504.781982421875,1658.18115234375,919.338623046875,695.9765625,612.9002075195312,2278.270263671875,476.4952697753906,2128.157958984375,757.7307739257812,176.0038604736328,876.864501953125,1513.71142578125,600.3379516601562,378.26824951171875,1821.0474853515625,838.9813232421875,8247.8056640625,878.9818725585938,120.07646942138672,130.1209259033203,128.35162353515625,1062.83984375,1194.4027099609375,487.4552917480469,789.5468139648438,3278.838623046875,694.604248046875,95.46466064453125,1227.8768310546875,2285.605712890625,6951.556640625,759.4542236328125,255.4807586669922
2022-01-31,1711.895263671875,700.196044921875,4402.50634765625,3035.760009765625,769.8356323242188,3225.020751953125,686.8269653320312,1565.8126220703125,65.84236145019531,4889.09326171875,712.7885131835938,162.1249237060547,3329.239990234375,915.2451171875,114.51018524169922,837.7630004882812,2537.92724609375,1687.983642578125,935.4630126953125,706.6546020507812,614.8758544921875,2322.733154296875,475.2320251464844,2119.024658203125,765.1513671875,178.1068572998047,846.3433227539062,1558.5965576171875,601.1982421875,370.08831787109375,1832.2276611328125,854.5617065429688,8292.5126953125,885.5391845703125,121.70431518554688,133.05020141601562,131.52687072753906,1085.9317626953125,1221.8465576171875,501.2841491699219,796.3701171875,3319.890380859375,703.69921875,95.54386901855469,1287.370849609375,2329.726318359375,7055.734375,746.2400512695312,264.9429931640625
2022-02-01,1743.788330078125,722.1414184570312,4456.53271484375,3078.134033203125,778.6488647460938,3197.698486328125,688.23486328125,1587.199951171875,65.12019348144531,4949.8232421875,706.6800537109375,154.6934356689453,3443.47021484375,916.6011352539062,116.83908081054688,839.0578002929688,2515.57470703125,1730.830322265625,963.882568359375,712.029296875,616.3082275390625,2324.822021484375,496.5617980957031,2148.75390625,786.0068359375,184.21359252929688,895.0607299804688,1590.779541015625,625.4296875,375.0799255371094,1910.25,839.0294799804688,8255.95703125,892.7180786132812,120.93321228027344,131.77825927734375,130.0308074951172,1082.337158203125,1203.7156982421875,495.69671630859375,851.0042114257812,3377.11376953125,712.2136840820312,102.74343872070312,1310.6551513671875,2400.300537109375,7348.908203125,754.4088745117188,266.81695556640625
2022-02-02,1776.1805419921875,728.4463500976562,4608.884765625,3079.5302734375,800.7565307617188,3198.196044921875,711.080810546875,1667.2540283203125,66.17203521728516,4983.2685546875,708.634765625,156.02049255371094,3409.9921875,921.8310546875,117.41236114501953,859.6766967773438,2561.191162109375,1737.426025390625,996.3439331054688,728.296142578125,636.3118286132812,2304.06103515625,499.428466796875,2169.48974609375,789.3534545898438,187.77252197265625,946.5439453125,1604.2899169921875,630.7348022460938,387.0957336425781,1902.7645263671875,838.6917724609375,8213.3720703125,884.5399169921875,120.93321228027344,132.04808044433594,130.67198181152344,1084.5439453125,1208.818359375,502.6809387207031,849.95458984375,3426.4736328125,718.3576049804688,102.75664520263672,1290.809326171875,2432.083251953125,7275.33349609375,755.3218994140625,272.0686340332031
