Date,z_score,long,short,exit
2018-11-22,0.3015736696478063,False,False,False
2018-11-26,-0.251520647094296,False,False,False
2018-11-27,-0.5788760371372508,False,False,False
2018-11-28,-0.8539316446107367,False,False,False
2018-11-29,-0.6355491438147114,False,False,False
2018-11-30,-1.2888351656271382,False,False,False
2018-12-03,-1.7905516930118557,False,False,False
2018-12-04,-1.7184283779828806,False,False,False
2018-12-05,-1.5476076527857785,False,False,False
2018-12-06,-0.5897602128564166,False,False,False
2018-12-07,-0.9566214547889643,False,False,False
2018-12-10,-1.1255538680010284,False,False,False
2018-12-11,-0.7269976572365028,False,False,False
2018-12-12,-0.5523173771836494,False,False,False
2018-12-13,-1.8376378116550973,False,False,False
2018-12-14,-1.3977782538265047,False,False,False
2018-12-17,-1.6807981719196214,False,False,False
2018-12-18,-1.6423050159620676,False,False,False
2018-12-19,-2.1591813562605955,True,False,False
2018-12-20,-1.4394698228050382,False,False,False
2018-12-21,-0.6859548887058197,False,False,False
2018-12-24,-0.9702324929771674,False,False,False
2018-12-26,-1.2223817753542903,False,False,False
2018-12-27,-0.9753871953582549,False,False,False
2018-12-28,-0.8674134773294945,False,False,False
2018-12-31,-0.6539221593846795,False,False,False
2019-01-01,-0.6530069788324896,False,False,False
2019-01-02,-1.3701971727961872,False,False,False
2019-01-03,-1.7708173763245967,False,False,False
2019-01-04,-1.8788482666875357,False,False,False
2019-01-07,-2.401579070164337,True,False,False
2019-01-08,-2.3709469021584026,True,False,False
2019-01-09,-2.2546321180745164,True,False,False
2019-01-10,-1.6631260596268742,False,False,False
2019-01-11,-1.4035559370528212,False,False,False
2019-01-14,-1.6394732344823817,False,False,False
2019-01-15,-1.3195019194121775,False,False,False
2019-01-16,-1.0788419350493488,False,False,False
2019-01-17,-1.3486801182845485,False,False,False
2019-01-18,-1.5257934382874754,False,False,False
2019-01-21,-1.0732732607686724,False,False,False
2019-01-22,-0.5854746263592506,False,False,False
2019-01-23,-0.4355516758369951,False,False,False
2019-01-24,-0.37682959135333516,False,False,False
2019-01-25,1.4660388575146623,False,False,False
2019-01-28,1.4913875103947327,False,False,False
2019-01-29,0.6936432814227953,False,False,False
2019-01-30,0.657072361199953,False,False,False
2019-01-31,0.37422991038873493,False,False,False
2019-02-01,-0.35856585751333664,False,False,False
2019-02-04,-0.08474810645344413,False,False,True
2019-02-05,-0.2227111376802252,False,False,False
2019-02-06,-0.08286459719814572,False,False,True
2019-02-07,0.0894960384060178,False,False,True
2019-02-08,-0.04292675834000329,False,False,True
2019-02-11,-0.28186250316022704,False,False,False
2019-02-12,0.13825750472895193,False,False,True
2019-02-14,-0.14263639809587264,False,False,True
2019-02-15,0.5161608497473128,False,False,False
2019-02-18,0.9050521648762206,False,False,False
2019-02-19,1.3696228436805584,False,False,False
2019-02-20,1.2430823623934166,False,False,False
2019-02-21,1.370439123624745,False,False,False
2019-02-22,0.9405096977045075,False,False,False
2019-02-25,0.9713974028123926,False,False,False
2019-02-26,0.9663990576809457,False,False,False
2019-02-27,0.4395906890232326,False,False,False
2019-02-28,0.5911661529802273,False,False,False
2019-03-01,0.1481984174397128,False,False,True
2019-03-05,0.7255243996696477,False,False,False
2019-03-06,1.0071708376323236,False,False,False
2019-03-07,1.1351659191896573,False,False,False
2019-03-08,1.7039287120538327,False,False,False
2019-03-11,2.0834494452337573,False,True,False
2019-03-12,1.2478165402415802,False,False,False
